title,author,rating,date,text,llm_summary,llm_sentiment
"Excellent product, works perfectly!",Rocky Singh,5.0,"March 15, 2024","This product exceeded my expectations. The build quality is excellent, and it performs exactly as advertised. Battery life is impressive, lasting a full day with heavy use. Highly recommend to anyone looking for a reliable solution.","This product exceeded my expectations. The build quality is excellent, and it performs exactly as ad",Positive
Good value for money,Satish Bhatiya,4.0,"March 10, 2024","Overall a solid product. Works well for basic needs. Could be slightly faster, but for the price point it's hard to complain. Customer service was responsive when I had questions.","Overall a solid product. Works well for basic needs. Could be slightly faster, but for the price poi",Positive
Decent but has some issues,Monika Bansal,3.0,"March 5, 2024","The product works okay but I've experienced occasional connectivity issues. When it works, it's great. However, the reliability could be improved. Support team helped resolve some initial problems.",The product works okay but I've experienced occasional connectivity issues...,Negative
Not worth the price,Sarojni Sinha,2.0,"February 28, 2024",Disappointed with this purchase. The product feels cheap and doesn't perform as described. Battery drains quickly and features are limited. Would recommend looking at alternatives.,Disappointed with this purchase. The product feels cheap and doesn't perform as described. Battery d,Negative
Perfect for travel,Danish Roy,5.0,"February 20, 2024","Took this on a two-week trip and it was a lifesaver. Compact, lightweight, and reliable. Charged all my devices without any issues. Definitely recommend for frequent travelers.",Took this on a two-week trip and it was a lifesaver...,Positive
Good but needs improvement,Laxman Sexsena,3.5,"February 15, 2024","It does what it says, but there's room for improvement. The software could be more intuitive. Hardware is solid though. Gets the job done but doesn't excel in any particular area.","It does what it says, but there's room for improvement...",Neutral
Best purchase this year!,Robin Yadav,5.0,"February 10, 2024",Absolutely love this product. It's changed how I work. The features are well thought out and the performance is top-notch. Customer support is also excellent.,Absolutely love this product. It's changed how I work. The features are well thought out and the per,Positive
Works as expected,Aman Chaudhary,4.0,"February 5, 2024",No complaints. Does exactly what it says on the box. Setup was easy and it's been reliable for the past month. Good value for the money.,No complaints. Does exactly what it says on the box. Setup was easy and it's been reliable for the p,Positive
Minor issues but overall good,Zeeshan Malik,3.5,"January 28, 2024","Had some initial setup problems, but after contacting support everything worked. The product itself is decent. Not the best on the market but acceptable for the price.","Had some initial setup problems, but after contacting support everything worked...",Neutral
Highly recommended!,Rachna Kumari,5.0,"January 20, 2024",This has been a game-changer. The quality is outstanding and it's very user-friendly. Battery lasts longer than advertised. Would definitely buy again.,This has been a game-changer. The quality is outstanding and it's very user-friendly. Battery lasts ,Neutral
